polygon_id,geometry,total_length,angle,angle_rad,angle_sin,angle_cos,cluster_id
1,"POLYGON ((884268.0118838769 1433807.984979817, 884262.5699229558 1433809.932713063, 884262.6915394076 1433810.052878188, 884259.6866679337 1433815.587612048, 884199.7484900274 1433875.132266125, 884197.1503153896 1433885.576836171, 884227.0261233654 1433854.835429555, 884251.4216743448 1433831.121627795, 884262.9280509624 1433819.383750073, 884263.0455647524 1433819.510917458, 884269.1004285953 1433812.481755746, 884269.420771635 1433809.545332898, 884268.0118838769 1433807.984979817))",104.5,133.93579496782274,4.675241216929119,-0.9993101011764528,-0.03713922032982987,2
2,"POLYGON ((883644.9441850123 1433827.781573348, 883646.3593499631 1433823.005171621, 883653.1952396092 1433806.347112239, 883658.6198431485 1433795.884305041, 883661.20565645 1433791.878628012, 883663.0094544819 1433786.778692784, 883663.915845922 1433785.873304059, 883665.0822633882 1433785.096192629, 883665.9865409567 1433783.416884345, 883665.7233440282 1433782.127727645, 883664.4218046865 1433780.970394713, 883663.1255502662 1433781.747860877, 883660.2768913199 1433784.593368612, 883657.1701446959 1433788.020025394, 883655.2303442738 1433790.863050423, 883643.6243210562 1433819.916945067, 883640.2697111408 1433827.665357357, 883639.4972107061 1433830.053735545, 883640.7982208618 1433831.017586601, 883643.00720678 1433831.656488352, 883644.4340007909 1433831.136640433, 883644.9441850123 1433827.781573348))",54.5,114.3062272343937,3.9900400415459645,-0.7502548022513051,-0.6611487969427571,2
3,"POLYGON ((883679.3540980067 1433781.31657219, 883700.0533211589 1433753.914674225, 883714.0207694892 1433733.754462076, 883732.6398303244 1433705.326332616, 883746.0809222207 1433682.587792543, 883741.9078276935 1433675.891814656, 883707.2692471426 1433733.772895716, 883676.7460879799 1433777.196093002, 883668.7235078281 1433787.214541261, 883646.7943198989 1433839.643360991, 883639.0534600351 1433857.722743088, 883638.5425720458 1433860.819835267, 883639.5847892496 1433862.106860937, 883642.9626554721 1433862.87155559, 883654.0524875734 1433834.979985009, 883671.0901649197 1433798.043029515, 883673.6821783899 1433791.672970786, 883679.3540980067 1433781.31657219))",214.0,119.76858768006075,4.180712390961154,-0.8619582864043456,-0.5069792032212803,1
4,"POLYGON ((883684.5518516598 1433674.136974696, 883684.4617551852 1433676.231361987, 883685.7107289319 1433677.46539844, 883686.6704382079 1433678.033907157, 883687.6283279773 1433677.936103233, 883688.2024380182 1433677.648970835, 883690.4591054529 1433673.043869378, 883692.0245875681 1433670.517214014, 883695.4276251432 1433666.26757161, 883700.9624830664 1433661.164038364, 883709.4799224304 1433654.144204392, 883716.9314542136 1433647.551316358, 883723.9515311229 1433639.263465537, 883740.1240942185 1433622.045890503, 883741.212723129 1433619.766532558, 883744.3900941504 1433614.776284619, 883748.1261300505 1433607.590990068, 883751.8598176932 1433599.544689184, 883756.7467324468 1433590.634228174, 883763.6472919361 1433578.561226201, 883771.1240773577 1433565.912641863, 883776.2944135257 1433554.992373914, 883779.8027165167 1433549.054750527, 883781.9295422682 1433544.562683911, 883783.1076053868 1433540.781562869, 883784.2792275074 1433534.639266745, 883785.4572912095 1433530.85814496, 883785.6872357917 1433528.02408642, 883784.018365189 1433526.139684723, 883782.3546474656 1433526.144223312, 883779.98692585 1433529.456352515, 883777.163825864 1433540.089420414, 883771.9697871284 1433552.854027105, 883760.8480821536 1433570.829424706, 883754.2254337096 1433582.653447811, 883745.7386384341 1433600.91014392, 883739.7966135042 1433613.223392551, 883727.3710575397 1433630.61714821, 883724.5878980061 1433634.015371773, 883712.8661778605 1433643.746097158, 883707.5412567831 1433647.576951625, 883702.2174943393 1433651.831838573, 883698.5987257722 1433655.234000321, 883692.6405136415 1433661.610795826, 883685.1982510589 1433671.595941745, 883685.4118261065 1433671.654723288, 883684.7388028612 1433672.423075805, 883684.5518516598 1433674.136974696))",182.5,123.69814534349413,4.31787982970893,-0.9231853360047804,-0.3843550902300382,1
5,"POLYGON ((883870.1302341777 1433619.05739314, 883871.2336721981 1433616.480270659, 883869.1908194728 1433613.911725435, 883865.4882981976 1433613.554088832, 883863.6380400725 1433613.74299857, 883861.7922935352 1433615.586684008, 883855.1714980683 1433625.421608393, 883834.6719790898 1433650.195871845, 883824.0478455619 1433658.480071228, 883770.9803541942 1433710.460517054, 883770.4356961766 1433710.092465648, 883760.3464262444 1433724.050672576, 883743.8054527292 1433752.731079194, 883730.1054193655 1433775.728268055, 883724.1535256446 1433783.290288525, 883722.991157009 1433785.55074381, 883723.2531196148 1433786.388447558, 883724.2930465639 1433786.837064759, 883725.0720673702 1433786.834937938, 883726.4321844876 1433785.670336936, 883727.7901888515 1433783.73181652, 883737.8752072685 1433768.225778705, 883747.4451106664 1433754.268996057, 883767.8699310756 1433721.45038682, 883775.3786539842 1433713.432658511, 883775.169969472 1433713.29164039, 883789.8827427602 1433699.591395098, 883802.8305553253 1433686.399317855, 883817.0774507127 1433673.461673782, 883837.2778683176 1433653.542450358, 883847.3756221224 1433642.67993103, 883860.5852543368 1433630.261072173, 883860.450499878 1433630.140612478, 883864.0427802217 1433626.428600832, 883870.1302341777 1433619.05739314))",230.0,130.83231703989745,4.5669094007185835,-0.989436496452333,-0.14496695998789672,1
6,"POLYGON ((883314.8849288124 1433861.067346415, 883307.9955010162 1433873.466741211, 883286.3469947042 1433907.465916453, 883286.1392491277 1433907.44651819, 883273.2810849389 1433926.864539783, 883260.7254791077 1433951.982541735, 883268.6270364396 1433956.093969332, 883270.200002806 1433954.236893381, 883271.3347796815 1433949.530612241, 883283.4627503982 1433925.411427777, 883294.89336167 1433908.562689673, 883321.6084794319 1433867.728619192, 883348.4240243523 1433821.331067126, 883348.9649477802 1433818.421324588, 883347.8621906484 1433816.606681909, 883345.4796874835 1433815.15907717, 883343.6530437989 1433816.254678547, 883314.8849288124 1433861.067346415))",161.5,120.72135622242814,4.21397028710863,-0.878339583191294,-0.47803721256754045,2
7,"POLYGON ((883427.9488646806 1434012.18389371, 883429.464698637 1434006.859989082, 883429.4493503822 1434006.856983187, 883427.6266991886 1434005.05615527, 883427.3592578338 1434002.219173572, 883427.8651840246 1433997.316282253, 883429.4112131605 1433992.926491046, 883441.2710592095 1433961.808141135, 883444.6171478526 1433950.964063205, 883452.8659567193 1433928.75569138, 883460.0690232689 1433903.970427169, 883465.2187160185 1433887.961909026, 883467.6616097149 1433879.18408513, 883474.5937294072 1433850.271940798, 883478.4704787433 1433843.553986459, 883486.2402142151 1433836.051455894, 883492.7158192139 1433830.100315992, 883500.9914988473 1433817.694876781, 883525.8351474297 1433786.540923549, 883530.109182204 1433782.659606913, 883529.8466865319 1433781.628423822, 883523.5979362852 1433775.583094017, 883520.8830023215 1433779.847110823, 883521.4058775378 1433781.135557071, 883521.7996213607 1433782.682331677, 883521.0258914893 1433784.619261968, 883510.9278965811 1433795.352850954, 883501.6092805904 1433806.213295941, 883497.4721444219 1433812.673990301, 883490.4884805955 1433822.754121891, 883487.1226050272 1433826.37498031, 883485.0536860712 1433829.47634047, 883474.6992140797 1433841.371518278, 883472.6302968166 1433844.472878168, 883470.0469742261 1433849.381469709, 883463.0830897319 1433866.684839145, 883451.1321890865 1433911.992096153, 883436.8428521685 1433956.789764835, 883421.6273926751 1433995.269567663, 883421.1214671379 1434000.172459376, 883423.2292176939 1434011.259569818, 883427.9488646806 1434012.18389371))",264.0,113.99364997396636,3.9791290368233225,-0.7429964892553624,-0.669295313710029,1
8,"POLYGON ((883421.9381816057 1433863.061485857, 883414.9777638314 1433872.997482967, 883411.5043436756 1433880.444697728, 883411.5165611499 1433884.907287043, 883412.9924470668 1433885.321844616, 883412.5174994199 1433885.896240607, 883416.0112808387 1433885.886675683, 883418.991019081 1433880.424201755, 883419.1709627678 1433879.7802485, 883422.8588680167 1433873.389518552, 883425.7289414122 1433869.918489548, 883431.9286442306 1433856.68532705, 883437.7216690558 1433846.75732431, 883451.3908763961 1433828.547639711, 883461.3309955677 1433814.89122825, 883467.5420195771 1433805.788090788, 883472.9317646701 1433800.404258823, 883478.3124715585 1433791.716398886, 883484.9414886197 1433783.438129795, 883485.5701737531 1433780.0134809, 883484.2919942557 1433779.256326727, 883482.5047625692 1433779.007665855, 883480.4661262918 1433780.154219571, 883478.4261027548 1433780.793676554, 883476.6447674311 1433782.700177378, 883474.3623579305 1433788.030977878, 883460.1279883342 1433809.241368443, 883441.3291817618 1433834.605841711, 883425.2068535928 1433858.179996881, 883425.0047614605 1433858.903210449, 883421.9381816057 1433863.061485857))",128.5,123.93375404404466,4.326104124850834,-0.9263151285665858,-0.37674962851829,2
9,"POLYGON ((883599.5305639991 1433654.101970047, 883597.0026503305 1433655.640700106, 883595.7936481413 1433658.388432355, 883608.936367588 1433665.644448544, 883613.2192404438 1433667.049749743, 883615.6566404523 1433664.209082171, 883614.0176951016 1433660.974694105, 883599.5305639991 1433654.101970047))",19.0,25.379756484263368,0.8859206280095524,0.7744976831328538,0.6325767454007786,3
10,"POLYGON ((883357.5493901066 1433010.332435009, 883402.2084446141 1433006.612140154, 883412.4734986813 1433007.783432817, 883419.1134695131 1433007.765272001, 883422.7656817578 1433006.140746127, 883442.483777466 1433000.205296121, 883448.5143762036 1432998.089908044, 883459.9735808894 1432994.46046548, 883476.255300826 1432988.419101594, 883501.5997282723 1432985.351401134, 883502.18287577 1432977.853740297, 883487.0920258183 1432977.894985661, 883468.3957648356 1432983.942946901, 883452.7184975552 1432990.282504334, 883439.7559467553 1432996.014958498, 883428.5961004817 1432998.744060081, 883422.9923707125 1432999.57839983, 883420.9005892961 1432999.064948693, 883409.7358236952 1432999.995012928, 883376.8410597072 1433001.284369835, 883362.6540225355 1433000.723502141, 883353.9013308166 1433000.747453032, 883348.170911318 1433002.262348167, 883337.6114209332 1433003.790460465, 883328.558553644 1433004.414923558, 883320.4144202744 1433006.236271833, 883315.2884568431 1433008.049359532, 883313.4824800279 1433009.853359297, 883314.6987765488 1433013.148298833, 883318.6248586281 1433014.037079399, 883357.5493901066 1433010.332435009))",193.0,170.50332829628522,5.9516889287579815,-0.32545830242520174,0.9455563935495893,1
