id,sqm,houses,pop,geometry
0,19904.224156870274,39,195,"MultiPolygon (((883957.6478657714324072 1433148.31675472692586482, 883947.32527002063579857 1433142.65614870400168002, 883941.32053646037820727 1433145.51685688504949212, 883936.74114940653089434 1433146.09819885599426925, 883932.72198564233258367 1433142.12704459321685135, 883931.84524389717262238 1433135.58741054381243885, 883927.82607874926179647 1433131.61625559534877539, 883921.52573977108113468 1433131.06454301252961159, 883914.37344712961930782 1433133.07507392298430204, 883905.22086869110353291 1433136.51323354709893465, 883898.08562393567990512 1433144.78130694245919585, 883898.68071150686591864 1433153.02832082565873861, 883905.28905105777084827 1433161.54338792664930224, 883906.16812134103383869 1433168.93631827365607023, 883911.05860725394450128 1433177.45606221817433834, 883915.07931989291682839 1433181.99607772473245859, 883923.11299551068805158 1433188.23177521908655763, 883922.55897228606045246 1433195.0597335253842175, 883924.00290868035517633 1433199.60676623089239001, 883931.4693862582789734 1433207.83505403017625213, 883930.62905430037062615 1433214.66378878266550601, 883921.76202662393916398 1433217.81672749063000083, 883917.48057715385220945 1433222.66378808463923633, 883921.79224187682848424 1433228.90961719653569162, 883928.97783059708308429 1433239.1297090204898268, 883934.15306378388777375 1433247.07979456195607781, 883940.19264106114860624 1433257.01856961403973401, 883943.07043680548667908 1433262.41499553876928985, 883943.3768851961940527 1433269.80946781719103456, 883948.56760482781101018 1433283.44820206728763878, 883957.76662635896354914 1433297.07601657649502158, 883963.53615006059408188 1433312.98864329606294632, 883969.28553268103860319 1433321.50602304330095649, 883971.62091238237917423 1433337.99686117423698306, 883968.21930574858561158 1433350.52123505086638033, 883975.11855846410617232 1433360.74208158068358898, 883991.20441191946156323 1433380.03980536200106144, 884015.30374304961878806 1433398.17797421710565686, 884029.1145953934174031 1433423.17056038416922092, 884063.45590337971225381 1433417.38842510688118637, 884076.00696060247719288 1433400.28824482928030193, 884077.08718414860777557 1433376.39285309286788106, 884065.60085795749910176 1433363.90900486428290606, 884055.26904083241242915 1433354.83522427291609347, 884046.92782358266413212 1433340.77842676267027855, 884044.89542205911129713 1433330.40210421942174435, 884048.02119435265194625 1433321.71834919950924814, 884046.14316933508962393 1433315.46590183069929481, 884041.55489952419884503 1433312.77626008074730635, 884037.10629953036550432 1433308.80628317035734653, 884034.51211703661829233 1433302.41356582008302212, 884030.3447911887196824 1433296.59399808570742607, 884031.60221171530429274 1433285.21319036721251905, 884026.97639438789337873 1433268.72856477391906083, 884019.48749691969715059 1433252.25172509113326669, 884009.1324190953746438 1433234.64494074275717139, 883997.0672278378624469 1433219.88715710677206516, 883990.19119082670658827 1433218.19926377013325691, 883989.00724433269351721 1433203.98072659224271774, 883975.25361495336983353 1433200.0360751748085022, 883968.9548362964997068 1433200.05322417011484504, 883962.64676404651254416 1433196.65717568877153099, 883966.06232667597942054 1433189.25255702855065465, 883971.19264254346489906 1433180.70552731584757566, 883970.59679446532391012 1433172.17408614209853113, 883957.96979907597415149 1433161.39991576294414699, 883960.24322852189652622 1433155.13614305201917887, 883960.24322852189652622 1433155.13614305201917887, 883957.6478657714324072 1433148.31675472692586482)))"
1,1074.6017152122222,2,10,"MultiPolygon (((884554.95045502309221774 1433698.49527758965268731, 884555.51535456150304526 1433695.64943128917366266, 884548.64867671835236251 1433697.37463213363662362, 884536.64856878772843629 1433706.50896849273703992, 884522.35957448510453105 1433716.21837534196674824, 884507.49180809501558542 1433723.65390396304428577, 884513.25182470865547657 1433736.15326473978348076, 884520.12158006988465786 1433735.56577562773600221, 884529.8451229139463976 1433731.55737507133744657, 884541.85755819198675454 1433726.97390921623446047, 884560.16868657048325986 1433722.37337465258315206, 884560.70583410956896842 1433709.28807470691390336, 884554.95045502309221774 1433698.49527758965268731)))"
2,2893.014147770591,5,25,"MultiPolygon (((884576.81440665479749441 1433737.11868968745693564, 884568.23145291313994676 1433739.41740003018639982, 884558.50328390300273895 1433741.71921608969569206, 884549.32459424750413746 1433735.48660756624303758, 884527.02218070556409657 1433746.3554543589707464, 884513.88150337536353618 1433757.19946843083016574, 884511.05085677304305136 1433769.15325104910880327, 884505.35100392973981798 1433778.83936315611936152, 884490.49560560064855963 1433790.82575212861411273, 884492.81226311740465462 1433800.49012052454054356, 884500.82722274586558342 1433799.89952189917676151, 884513.40607296989765018 1433793.03906901809386909, 884529.42211392940953374 1433786.73816204164177179, 884546.58645812491886318 1433781.57187182689085603, 884554.03189728921279311 1433782.12055122759193182, 884568.34554180328268558 1433781.5128926201723516, 884564.88676988508086652 1433772.98933750437572598, 884569.44450430746655911 1433764.44405352510511875, 884580.85657686716876924 1433749.62270830105990171, 884576.81440665479749441 1433737.11868968745693564)))"
3,1393.0006145085208,2,10,"MultiPolygon (((884524.92300097784027457 1433816.90003131027333438, 884512.32564580941107124 1433816.93418992985971272, 884504.32148837123531848 1433821.50678787240758538, 884510.06915522913914174 1433829.45526105212047696, 884502.06345775350928307 1433833.45900126546621323, 884498.0320678458083421 1433824.93701361492276192, 884488.30854949948843569 1433828.94541578460484743, 884479.17307020479347557 1433838.64083840139210224, 884484.92999825067818165 1433850.00244724354706705, 884495.27394701645243913 1433863.62705595977604389, 884507.29405437258537859 1433861.88787322817370296, 884519.28331131825689226 1433848.77155697112902999, 884527.25970101344864815 1433833.95953760202974081, 884527.24581936653703451 1433828.83982334635220468, 884528.94821626180782914 1433823.14659359585493803, 884524.92300097784027457 1433816.90003131027333438)))"
4,571.9894315339625,1,5,"MultiPolygon (((884552.35879299440421164 1433798.62207920616492629, 884550.09612100722733885 1433808.86772239743731916, 884564.99932424398139119 1433814.51594045152887702, 884569.55396961257793009 1433804.83294932777062058, 884582.13745167967863381 1433799.6790911597199738, 884593.57572194945532829 1433794.52833969658240676, 884588.97174135956447572 1433786.00788918300531805, 884572.36921117512974888 1433787.19060610793530941, 884563.80477024300489575 1433796.3156070162076503, 884552.35879299440421164 1433798.62207920616492629)))"
5,2261.1638955892995,4,20,"MultiPolygon (((884570.79543538275174797 1433417.71753234788775444, 884561.91686155134811997 1433416.60385349695570767, 884547.89787783846259117 1433420.33947235136292875, 884549.34790604701265693 1433427.16194303776137531, 884555.93525882589165121 1433427.99739360855892301, 884567.6815152169438079 1433430.80990078835748136, 884577.71532715647481382 1433435.618082529399544, 884584.60208209103439003 1433441.28809038153849542, 884581.75597363861743361 1433447.55332995997741818, 884576.30151974048931152 1433442.16387635166756809, 884563.98727903154212981 1433441.05950613669119775, 884558.27965500962454826 1433447.90136718493886292, 884566.59100510901771486 1433451.00761244469322264, 884577.1974245406454429 1433455.81423981464467943, 884588.07242586091160774 1433454.07818075176328421, 884596.65235784731339663 1433450.64174241828732193, 884614.95513835351448506 1433442.9124759288970381, 884628.39611412258818746 1433437.18741390807554126, 884629.51130048139020801 1433426.09149906225502491, 884622.61607768072281033 1433417.29273907514289021, 884616.58131122984923422 1433409.06051459233276546, 884603.40660423703957349 1433407.38959450670517981, 884590.53438111103605479 1433411.69096016883850098, 884581.10862131789326668 1433419.96505996934138238, 884570.79543538275174797 1433417.71753234788775444)))"
6,2944.1892670113593,5,25,"MultiPolygon (((884703.46331003762315959 1433457.32116914330981672, 884695.46522243146318942 1433464.16920520248822868, 884692.63064764882437885 1433474.70089422538876534, 884686.91454193403478712 1433478.41399238933809102, 884693.22558344784192741 1433482.94783646310679615, 884698.39678965718485415 1433489.47579506598412991, 884698.41911342972889543 1433497.72428411990404129, 884703.86661590030416846 1433500.55386823602020741, 884707.02675269660539925 1433504.527373515535146, 884706.48031305568292737 1433514.19956172513775527, 884710.5139896715991199 1433523.57492026616819203, 884719.96822315186727792 1433525.82479630596935749, 884729.97582599718589336 1433520.96236415533348918, 884737.97236747457645833 1433513.54548196122050285, 884751.11471499165054411 1433503.2703533386811614, 884759.39141381590161473 1433493.5772536878939718, 884763.09261288621928543 1433485.88755899341776967, 884763.64137445611413568 1433477.068658955860883, 884756.76465405861381441 1433475.09623021655716002, 884749.90178258449304849 1433478.24355561705306172, 884739.58554637001361698 1433474.85827006539329886, 884729.84422826371155679 1433472.32472960138693452, 884724.66763848531991243 1433463.80574915045872331, 884715.48584420536644757 1433456.43533675791695714, 884703.46331003762315959 1433457.32116914330981672)))"
7,1824.4676802926697,3,15,"MultiPolygon (((884692.69140969135332853 1433391.36181857297196984, 884688.99560063984245062 1433401.04255573940463364, 884686.739022072753869 1433413.56372892134822905, 884684.1869013694813475 1433422.6725001607555896, 884679.91232693428173661 1433430.07933282223530114, 884683.37802256701979786 1433441.1628447778057307, 884688.27447609754744917 1433451.95804851432330906, 884694.58860013575758785 1433457.62961963866837323, 884704.03053360129706562 1433455.32860326860100031, 884717.7616676592733711 1433451.02495192782953382, 884729.19927909621037543 1433445.58977800002321601, 884733.75477896630764008 1433436.19116223510354757, 884737.45290207117795944 1433427.36373090744018555, 884719.98438976693432778 1433425.98882621014490724, 884711.13199344382155687 1433434.54577349009923637, 884705.67986556165851653 1433430.00959674431942403, 884707.94953234691638499 1433422.32375920959748328, 884714.81164146668743342 1433418.89199257572181523, 884715.07562882010824978 1433410.64271416375413537, 884701.62001170695293695 1433410.9635574365966022, 884698.17279265122488141 1433406.70638658478856087, 884698.4375468761427328 1433398.74153663497418165, 884698.70538018038496375 1433391.91441055154427886, 884692.69140969135332853 1433391.36181857297196984)))"
8,404.28354731574655,0,0,"MultiPolygon (((884752.88111068145371974 1433415.3758026584982872, 884747.46130032069049776 1433422.78572598053142428, 884748.91668148210737854 1433431.59921630751341581, 884756.94094084296375513 1433434.42184200673364103, 884765.543195775244385 1433439.23393694381229579, 884770.69054722343571484 1433436.9445509915240109, 884770.6643926267279312 1433427.27389686927199364, 884768.06148423906415701 1433417.61020946642383933, 884752.88111068145371974 1433415.3758026584982872)))"
9,1166.3043501740322,2,10,"MultiPolygon (((884727.45756920601706952 1433542.58604528708383441, 884717.13672729511745274 1433537.49418984400108457, 884701.95562094589695334 1433534.97538197133690119, 884691.65940912044607103 1433538.98530378984287381, 884690.25482867460232228 1433548.94424013583920896, 884696.57817782554775476 1433558.02895993972197175, 884706.59115911973640323 1433555.15753641142509878, 884720.90795483277179301 1433555.68765654251910746, 884734.94152286415919662 1433557.35627694195136428, 884747.25110270152799785 1433556.75410768482834101, 884754.39795739389955997 1433552.75272079487331212, 884751.21859160647727549 1433541.66846058215014637, 884745.75647737842518836 1433533.43469772161915898, 884738.88130366441328079 1433532.03113621426746249, 884734.8861127495765686 1433536.87729715695604682, 884727.45756920601706952 1433542.58604528708383441)))"
