"","camellon_type","summary","volume","person","family","community"
"3","1","maximum",1951,"390 - 780","78 - 156","0.1 - 0.2"
"2","1","median",658,"132 - 263","26 - 53","0 - 0.1"
"1","1","minimum",354,"71 - 142","14 - 28","0 - 0"
"6","2","maximum",1349,"270 - 540","54 - 108","0.1 - 0.2"
"5","2","median",219,"44 - 87","8.7 - 17","0 - 0"
"4","2","minimum",17,"3.4 - 6.8","0.7 - 1.4","0 - 0"
"9","3","maximum",681,"136 - 272","27 - 54","0 - 0.1"
"8","3","median",97,"19 - 39","3.9 - 7.8","0 - 0"
"7","3","minimum",1.2,"0.2 - 0.5","0 - 0.1","0 - 0"
"12","4","maximum",565,"113 - 226","23 - 45","0 - 0.1"
"11","4","median",58,"12 - 23","2.3 - 4.7","0 - 0"
"10","4","minimum",3.6,"0.7 - 1.4","0.1 - 0.3","0 - 0"
